_id,plot,genres,runtime,cast,num_mflix_comments,poster,title,fullplot,languages,released,directors,writers,lastupdated,year,countries,type,plot_embedding,awards.wins,awards.nominations,awards.text,imdb.rating,imdb.votes,imdb.id,rated,metacritic
573a1390f29313caabcd5293,"Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ...",['Action'],199.0,"['Pearl White', 'Crane Wilbur', 'Paul Panzer', 'Edward Josè']",0,https://m.media-amazon.com/images/M/MV5BMzgxODk1Mzk2Ml5BMl5BanBnXkFtZTgwMDg0NzkwMjE@._V1_SY1000_SX677_AL_.jpg,The Perils of Pauline,"Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take possession of her inheritance. Meanwhile, her ""guardian"" and his confederates constantly come up with schemes to get rid of Pauline so that he can get his hands on the money himself.",['English'],1914-03-23,"['Louis J. Gasnier', 'Donald MacKenzie']","['Charles W. Goddard (screenplay)', 'Basil Dickey (screenplay)', 'Charles W. Goddard (novel)', 'George B. Seitz', 'Bertram Millhauser']",2015-09-12 00:01:18.647000000,1914,['USA'],movie,0.0,1,0,1 win.,7.6,744.0,4465,,0.0
573a1391f29313caabcd68d0,A penniless young man tries to save an heiress from kidnappers and help her secure her inheritance.,"['Comedy', 'Short', 'Action']",22.0,"['Harold Lloyd', 'Mildred Davis', ""'Snub' Pollard"", 'Peggy Cartwright']",0,https://m.media-amazon.com/images/M/MV5BNzE1OWRlNDgtMTllNi00NTZiLWIyNTktYTk0MDY1ZWUwYTc5XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SY1000_SX677_AL_.jpg,From Hand to Mouth,"As a penniless man worries about how he will manage to eat, he is joined by a young waif and her dog, who are in the same predicament. Meanwhile, across town a dishonest lawyer is working with a gang of criminals, trying to swindle an innocent young heiress out of her inheritance. As the heiress is on her way home from the lawyer's office, she notices the young man and the waif in the midst of their latest problem with the authorities, and she rescues them. Later on, the young man will have an unexpected opportunity to repay her for her kindness.",['English'],1919-12-28,"['Alfred J. Goulding', 'Hal Roach']",['H.M. Walker (titles)'],2015-04-17 00:16:14.220000000,1919,['USA'],movie,0.0,0,1,1 nomination.,7.0,639.0,10146,TV-G,0.0
573a1391f29313caabcd820b,"Michael ""Beau"" Geste leaves England in disgrace and joins the infamous French Foreign Legion. He is reunited with his two brothers in North Africa, where they face greater danger from their...","['Action', 'Adventure', 'Drama']",101.0,"['Ronald Colman', 'Neil Hamilton', 'Ralph Forbes', 'Alice Joyce']",0,,Beau Geste,"Michael ""Beau"" Geste leaves England in disgrace and joins the infamous French Foreign Legion. He is reunited with his two brothers in North Africa, where they face greater danger from their own sadistic commander than from the rebellious Arabs.",['English'],1926-08-25,['Herbert Brenon'],"['Herbert Brenon (adaptation)', 'John Russell (adaptation)', 'Paul Schofield', 'Percival Christopher Wren (novel)']",2015-08-25 00:40:54.383000000,1926,['USA'],movie,0.0,1,0,1 win.,6.9,222.0,16634,,0.0
573a1391f29313caabcd8268,"Seeking revenge, an athletic young man joins the pirate band responsible for his father's death.","['Adventure', 'Action']",88.0,"['Billie Dove', 'Tempe Pigott', 'Donald Crisp', 'Sam De Grasse']",1,https://m.media-amazon.com/images/M/MV5BMzU0NDkyMjEzMV5BMl5BanBnXkFtZTgwMTcyMzEyMjE@._V1_SY1000_SX677_AL_.jpg,The Black Pirate,"A nobleman vows to avenge the death of his father at the hands of pirates. To this end he infiltrates the pirate band. Acting in character he is instrumental in the capture of a ship, but things are complicated when he finds that there is a young woman on board whom he wishes to protect from the threat of rape.",,1926-03-08,['Albert Parker'],"['Douglas Fairbanks (story)', 'Jack Cunningham (adapted by)']",2015-08-22 01:10:11.970000000,1926,['USA'],movie,0.0,1,0,1 win.,7.2,1146.0,16654,,0.0
573a1391f29313caabcd8319,An irresponsible young millionaire changes his tune when he falls for the daughter of a downtown minister.,"['Action', 'Comedy', 'Romance']",58.0,"['Harold Lloyd', 'Jobyna Ralston', 'Noah Young', 'Jim Mason']",0,https://m.media-amazon.com/images/M/MV5BMTcxMTEwMTIzNl5BMl5BanBnXkFtZTgwMzYzODYwMjE@._V1_SY1000_SX677_AL_.jpg,For Heaven's Sake,"The Uptown Boy, J. Harold Manners (Lloyd) is a millionaire playboy who falls for the Downtown Girl, Hope (Ralston) who works in Brother Paul's (Weigel) mission. In order to build up attendance, and win Hope's attention, Harold runs through town causing trouble, and winds up with a crowd chasing him right into the mission. He eventually wins the girl and they marry, but not without some interference from his high-brow friends.",['English'],1926-04-05,['Sam Taylor'],"['Ted Wilde (story)', 'John Grey (story)', 'Clyde Bruckman (story)', 'Ralph Spence (titles)']",2015-08-19 00:35:01.953000000,1926,['USA'],movie,0.0,0,1,1 nomination.,7.6,918.0,16895,PASSED,0.0
573a1391f29313caabcd93a3,Navy divers clear the torpedo tube of a sunken submarine.,"['Action', 'Drama']",77.0,"['Kenneth MacKenna', 'Frank Albertson', 'J. Farrell MacDonald', 'Warren Hymer']",1,,Men Without Women,"Aboard the U.S. submarine S13 in the China seas, Chief Torpedoman Burke goes about his duties. In actuality, he is Quartermaine, the infamous former commander of the British ship Royal Scot, which was sunk by Germans with a Field Marshal aboard. Quartermaine had told his sweetheart that the Field Marshal would be aboard, not knowing that she was an informant for the enemy. When the S13 sinks, Burke takes charge when the commander, Ensign Price, is unable to command. Burke must keep his mates alive long enough on the bottom of the sea for rescuers to arrive.",['English'],1930-02-09,['John Ford'],"['John Ford (story)', 'James Kevin McGuinness (story)', 'Dudley Nichols (screen play and scenario)', 'Otis C. Freeman (titles)']",2015-08-31 00:25:42.873000000,1930,['USA'],movie,0.0,1,0,1 win.,5.8,154.0,21140,PASSED,0.0
573a1392f29313caabcd9a10,Famous motor-racing champion Joe Greer returns to his hometown to compete in a local race. He discovers his younger brother has aspirations to become a racing champion and during the race ...,"['Drama', 'Action']",85.0,"['James Cagney', 'Joan Blondell', 'Ann Dvorak', 'Eric Linden']",1,https://m.media-amazon.com/images/M/MV5BMDg0OTc2YjUtYWMzZi00YWIxLTkwMjEtODFjYjhkOGI2ZWQwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SY1000_SX677_AL_.jpg,The Crowd Roars,"Famous motor-racing champion Joe Greer returns to his hometown to compete in a local race. He discovers his younger brother has aspirations to become a racing champion and during the race Joe loses his nerve when another driver his killed, leaving his brother to win. Joe's luck takes a plunge while his brother rises to height of fame.",['English'],1932-04-16,['Howard Hawks'],"['John Bright', 'Niven Busch', 'Kubec Glasmon', 'Howard Hawks (story)', 'Seton I. Miller']",2015-08-25 00:03:34.743000000,1932,['USA'],movie,0.0,0,1,1 nomination.,6.4,663.0,22792,,0.0
573a1392f29313caabcd9ca6,"An ambitious and near insanely violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.","['Action', 'Crime', 'Drama']",93.0,"['Paul Muni', 'Ann Dvorak', 'Karen Morley', 'Osgood Perkins']",1,https://m.media-amazon.com/images/M/MV5BYmMxZTU2ZDUtM2Y1MS00ZWFmLWJlN2UtNzI0OTJiOTYzMTk3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SY1000_SX677_AL_.jpg,Scarface,"Johnny Lovo rises to the head of the bootlegging crime syndicate on the south side of Chicago following the murder of former head, Big Louis Costillo. Johnny contracted Big Louis' bodyguard, Tony Camonte, to make the hit on his boss. Tony becomes Johnny's second in command. Johnny is not averse to killing anyone who gets in his and Johnny's way. As Tony is thinking bigger than Johnny and is not afraid of anyone or anything, Tony increasingly makes decisions on his own instead of following Johnny's orders, especially in not treading on the north side run by an Irish gang led by a man named O'Hara, of whom Johnny is afraid. Tony's murder spree increases, he taking out anyone who stands in his and Johnny's way of absolute control on the south side, and in Tony's view absolute control of the entire city. Tony's actions place an unspoken strain between Tony and Johnny to the point of the two knowing that they can't exist in their idealized world with the other. Tony's ultimate downfall may be one of two women in his life: Poppy, Johnny's girlfriend to who Tony is attracted; and Tony's eighteen year old sister, Cesca, who is self-professed to be older mentally than her years much to Tony's chagrin, he who will do anything to protect her innocence. Cesca ultimately comes to the realization that she is a lot more similar to her brother than she first imagined.",['English'],1932-04-09,"['Howard Hawks', 'Richard Rosson']","['Armitage Trail (novel)', 'Ben Hecht (screen story)', 'Seton I. Miller (continuity)', 'John Lee Mahin (continuity)', 'W.R. Burnett (continuity)', 'Seton I. Miller (dialogue)', 'John Lee Mahin (dialogue)', 'W.R. Burnett (dialogue)']",2015-09-03 00:32:16.227000000,1932,['USA'],movie,0.0,2,0,2 wins.,7.8,18334.0,23427,PASSED,0.0
573a1392f29313caabcd9cfb,"A trader and his daughter set off in search of the fabled graveyard of the elephants in deepest Africa, only to encounter a wild man raised by apes.","['Action', 'Adventure', 'Romance']",100.0,"['Johnny Weissmuller', 'Neil Hamilton', 'C. Aubrey Smith', ""Maureen O'Sullivan""]",0,https://m.media-amazon.com/images/M/MV5BNTVlMDAwMDQtMTEzMC00YjhlLWEyYTctNjMzN2M0NGI0MTEwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SY1000_SX677_AL_.jpg,Tarzan the Ape Man,"James Parker and Harry Holt are on an expedition in Africa in search of the elephant burial grounds that will provide enough ivory to make them rich. Parker's beautiful young daughter Jane arrives unexpectedly to join them. Harry is obviously attracted to Jane and he does his best to help protect her from all the dangers that they experience in the jungle. Jane is terrified when Tarzan and his ape friends first abduct her, but when she returns to her father's expedition she has second thoughts about leaving Tarzan. After the expedition is captured by a tribe of violent dwarfs, Jane sends Cheetah to bring Tarzan to rescue them...",['English'],1932-04-02,['W.S. Van Dyke'],"['Edgar Rice Burroughs (based upon the characters created by)', 'Cyril Hume (adaptation)', 'Ivor Novello (dialogue)']",2015-09-01 00:05:45.413000000,1932,['USA'],movie,0.0,1,0,1 win.,7.2,5182.0,23551,PASSED,0.0
573a1392f29313caabcda755,"When earthy Dolly Portland is rejected by Captain Gaskell in favor of a socialite, she aids Jamesy McCardle, in league with Malay pirates, in his plot to seize his ship.","['Action', 'Drama', 'Adventure']",87.0,"['Clark Gable', 'Jean Harlow', 'Wallace Beery', 'Lewis Stone']",2,https://m.media-amazon.com/images/M/MV5BMTgxMDg2MzE3MV5BMl5BanBnXkFtZTgwOTM5MjIyMjE@._V1_SY1000_SX677_AL_.jpg,China Seas,"Dynamic Alan Gaskell captains a ship bound from Hong Kong to Singapore. Gaskell tries to turn over a new leaf from his hard-drinking lifestyle after becoming attached to a refined high class English lady, Sybil Barclay. His former girlfriend Dolly is extremely jealous of the budding relationship and tries hard to get the Captain back. He is apparently unimpressed with her loud, obnoxious, and uncivilized manners, even though she is extremely beautiful. After a temporary take over of the ship by gold-seeking Asian pirates, Captain Gaskell must deal with the fact that Dolly and her drinking pal, Jamesey MacArdle, are implicated in the crime.",['English'],1935-08-16,['Tay Garnett'],"['Jules Furthman (screen play)', 'James Kevin McGuinness (screen play)', 'Crosbie Garstin (from the book by)']",2015-09-11 00:37:56.387000000,1935,['USA'],movie,0.0,0,1,1 nomination.,7.0,1518.0,26205,PASSED,0.0
573a1392f29313caabcdac22,"A major countermands orders and attacks to revenge a previous massacre of men, women and children.","['Action', 'Adventure', 'Romance']",115.0,"['Errol Flynn', 'Olivia de Havilland', 'Patric Knowles', 'Henry Stephenson']",0,https://m.media-amazon.com/images/M/MV5BNmUzYjNjZDQtMjNmZS00OGZmLTg2NzgtMjkyYTZkMmFlYTczXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SY1000_SX677_AL_.jpg,The Charge of the Light Brigade,"Major Vickers is an officer at the 27th Lancers in India 1856. When the regiment is on maneuver, the barracks are attacked by Surat Khan and his soldiers who massacre British women and children. This leaves an inextinguishable memory and Vickers promises to revenge the dead.",['English'],1936-10-20,['Michael Curtiz'],"['Alfred Lord Tennyson (poem)', 'Michael Jacoby (original story)', 'Michael Jacoby (screen play)', 'Rowland Leigh (screen play)']",2015-08-20 00:35:09.343000000,1936,['USA'],movie,0.0,0,4,Won 1 Oscar. Another 3 nominations.,7.1,3187.0,27438,APPROVED,0.0
